"158","Dewas",,"7272","22.9622672","76.0507949","537.2230835","289438","Dewas","MP"
"159","Shantipur","Santipur","3472","23.2645399","88.4380966","16.73291588","288718","Nadia","WB"
"160","Bathinda","Bhatinda","164","30.210994","74.9454745","207.7039795","285788","Bathinda","PB"
"161","Jalna",,"2482","19.842614","75.894805","499.6987","285577","Jalna","MH"
"162","Satna",,"7672","24.6005075","80.8322428","325.5716248","283004","Satna","MP"
"163","Mau","Maunath Bhanjan","5464","25.9496379","83.5586445","77.10067749","279060","Mau","UP"
"164","Roorkee",,"1332","29.8542626","77.8880002","275.7794189","275502","Haridwar","UT"
"165","Ratlam","Ratnapuri","7412","23.3341696","75.0376325","486.0803528","273892","Ratlam","MP"
"166","Parbhani",,"2452","19.2609958","76.776665","417","270000","Parbhani","MH"
"167","Sambalpur",,"663","21.4668716","83.9811665","160.3558655","269,575","Sambalpur","OR"
"168","Anantapur",,"8554","14.6818877","77.6005911","348.9018555","268503","Anantapur","AP"
"169","Imphal",,"385","24.8170111","93.9368439","782.9458008","264986","Imphal West; Imphal East","MN"
"170","Rajnandgaon",,"7744","21.0971034","81.0302222","309.6764221","263122","Rajnandgaon","CT"
"171","Hapur","Haripur","122","28.7305798","77.7758825","215","262801","Hapur","UP"
"172","Karimnagar",,"878","18.438485","79.128931","279.1332092","261185","Karimnagar","TG"
"173","Arrah","Ara","6182","25.5560443","84.6603307","65.22813416","261099","Bhojpur","BR"
"174","Noida",,"120","28.600032","77.351504","204.0539856","259160","Noida","UP"
"175","Etawah",,"5688","26.784784","79.021451","152.5662689","256790","Etawah","UP"
"176","Haldwani","Kathgodam","5946","29.2182644","79.5129767","433.3934021","252060","Nainital","UT"
"177","Bharatpur",,"5644","27.216981","77.489515","181.112854","252000","Bharatpur","RJ"
"178","Begusarai",,"6243","25.416675","86.1293792","48.2841301","251136","Begusarai","BR"
"179","Sri Ganganagar",,"154","29.912527","73.875212","176.4245911","249914","Sri Ganganagar","RJ"
"180","Dankuni",,"3212","22.6808348","88.2929313","7.901014805","249840","Hooghly","WB"
"181","Gandhidham",,"2836","23.075297","70.133673","18.43569565","247992","Kutch","GJ"
